PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%
Luka Doncic,400,34.9,28.7,9.7,20.7,47,3,8.6,34.7,6.2,8.3,74.7,1,7.7,8.7,8.3,1.2,0.5,4,54.2,58.8
Joel Embiid,433,31.9,27.9,9.2,18.2,50.4,1.2,3.4,34.1,8.3,10.1,82.6,2.2,8.9,11.2,3.6,0.9,1.7,3.4,53.6,61.5
Kevin Durant,"1,061",36.7,27.3,9.4,18.7,50.1,1.9,4.9,38.7,6.6,7.5,88.4,0.7,6.3,7,4.4,1.1,1.1,3.2,55.2,61.9
LeBron James,"1,492",37.9,27.1,9.9,19.6,50.6,1.6,4.6,34.8,5.6,7.6,73.6,1.2,6.3,7.5,7.4,1.5,0.7,3.5,54.7,58.9
Trae Young,407,34.1,25.5,8.1,18.6,43.6,2.6,7.3,35.5,6.7,7.7,87.3,0.6,2.9,3.6,9.5,1,0.2,4.2,50.6,58.1
Damian Lillard,842,36.2,25.1,8.1,18.5,43.8,3.1,8.4,37.1,5.8,6.5,89.7,0.6,3.6,4.2,6.7,1,0.3,2.8,52.2,58.8
Donovan Mitchell,468,34.2,24.8,8.8,19.6,45,3,8.1,36.6,4.2,5,84.3,0.8,3.5,4.3,4.6,1.4,0.3,2.8,52.5,56.9
Stephen Curry,956,34.2,24.8,8.5,17.9,47.3,3.9,9.2,42.6,3.9,4.3,91,0.7,4.1,4.7,6.4,1.5,0.2,3.1,58.2,62.6
Devin Booker,598,34,24.3,8.5,18.3,46.4,2.1,5.8,35.7,5.2,6,87,0.6,3.5,4,5,0.9,0.3,3,52.1,57.9
James Harden,"1,072",34.7,24.1,7.1,16.2,44.1,2.7,7.5,36.4,7.1,8.3,86.1,0.8,4.9,5.6,7.1,1.5,0.6,3.7,52.6,61
Anthony Davis,736,34.5,24.1,9,17.2,52.3,0.5,1.6,29.7,5.6,7,79.5,2.7,8,10.6,2.5,1.3,2.3,2,53.6,59.2
Kyrie Irving,729,34.4,23.6,8.7,18.3,47.4,2.4,6,39.3,3.8,4.3,88.6,0.8,3.2,4,5.7,1.3,0.4,2.5,53.9,58.3
Giannis Antetokounmpo,792,32.8,23.4,8.5,15.6,54.5,0.7,2.3,28.6,5.7,8.1,70.2,1.8,7.9,9.8,4.9,1.1,1.2,3,56.7,61
Jayson Tatum,513,34.2,23.1,8,17.5,46,2.5,6.7,37.5,4.5,5.3,84.4,0.9,6.2,7.2,3.5,1.1,0.7,2.3,53.3,58.3
Karl-Anthony Towns,573,34,22.9,8.4,16.1,52.4,1.7,4.3,39.8,4.4,5.2,83.9,2.8,8.1,10.8,3.2,0.8,1.3,2.7,57.6,62.3
Bradley Beal,748,34.6,21.9,8,17.3,46.3,2.2,5.8,37.5,3.7,4.5,82.2,0.9,3.2,4.1,4.3,1.1,0.4,2.5,52.5,56.6
Russell Westbrook,"1,162",33.6,21.7,7.8,17.8,43.8,1.1,3.6,30.4,5,6.5,77.6,1.6,5.5,7.1,8.1,1.6,0.3,3.9,46.9,52.6
DeMar DeRozan,"1,110",34.6,21.2,7.6,16.2,46.9,0.5,1.6,29.6,5.6,6.6,84.1,0.7,3.7,4.4,4.1,1,0.3,2,48.3,55.5
De'Aaron Fox,469,32.9,21.2,7.8,16.6,47.1,1.5,4.4,33.4,4.1,5.5,73.6,0.6,3.2,3.8,6.1,1.4,0.4,2.7,51.6,55.6
Nikola Jokic,675,31.2,20.9,8.1,14.5,55.7,1,2.9,35,3.8,4.6,82.7,2.6,8.1,10.7,6.9,1.2,0.7,2.9,59.2,63.5
Paul George,867,33.7,20.8,7.1,16.1,44,2.6,6.8,38.5,4,4.7,85.4,0.8,5.5,6.3,3.7,1.7,0.4,2.7,52.1,57.2
Zach LaVine,580,32.5,20.5,7.3,15.7,46.4,2.2,5.8,38.2,3.7,4.4,83.4,0.5,3.6,4.1,3.9,0.9,0.3,2.6,53.5,58
Kawhi Leonard,696,31.8,20,7.2,14.5,49.9,1.6,4.1,39.1,3.9,4.6,86.2,1.2,5.2,6.4,3,1.7,0.7,1.6,55.3,60.5
Kristaps Porzingis,459,30.9,19.7,6.9,15.1,45.9,1.8,5.1,36.1,4,4.8,83.1,1.7,6.1,7.9,1.8,0.7,1.8,1.7,52.1,57.3
Klay Thompson,793,32.6,19.6,7.3,16.1,45.3,3.1,7.6,41.3,1.8,2.1,85.8,0.5,3.1,3.5,2.3,0.9,0.5,1.7,55,57.4
CJ McCollum,731,32.1,19.5,7.4,16.4,45.4,2.5,6.2,39.9,2.1,2.6,80.6,0.6,3,3.6,3.8,0.9,0.4,1.8,52.9,55.5
Brandon Ingram,477,33,19.4,7.1,15.1,46.8,1.4,3.7,36.2,3.9,5,78.6,0.7,4.4,5.2,4.3,0.7,0.6,2.5,51.3,56.1
Julius Randle,641,32,19.1,6.9,14.7,47,1.2,3.5,33.3,4.1,5.4,74.8,2,7.4,9.4,3.7,0.7,0.4,2.8,50.9,55.7
Jaylen Brown,540,30.2,18.6,7,14.6,48,1.9,5.2,36.4,2.7,3.7,72,1,4.3,5.3,2.4,1,0.4,2.1,54.6,57.3
Andrew Wiggins,706,34.1,18.5,6.9,15.4,44.9,1.4,4.1,35.4,3.3,4.5,72.2,1.3,3.2,4.5,2.3,1,0.7,1.9,49.6,53.3
Jimmy Butler,814,33.2,18.3,6,12.7,47,0.8,2.4,32.9,5.6,6.7,84.4,1.6,3.7,5.3,4.3,1.6,0.4,1.6,50.2,58.8
Lauri Markkanen,403,31,18.1,6.3,13.7,45.9,2.5,6.6,37.5,3.1,3.6,86.6,1.4,5.9,7.3,1.5,0.7,0.5,1.4,55,59.5
D'Angelo Russell,571,30.2,17.8,6.4,14.9,43,2.6,6.9,36.9,2.4,3,79.2,0.5,2.9,3.4,5.8,1.1,0.3,2.7,51.6,54.7
Pascal Siakam,551,31,17.7,6.7,13.6,49.6,1,3.1,33,3.2,4.1,76.6,1.5,5.1,6.6,3.6,0.9,0.6,1.9,53.3,57.3
Chris Paul,"1,272",34.1,17.5,6.2,13.2,47.1,1.4,3.7,36.9,3.8,4.3,87,0.6,3.9,4.5,9.4,2.1,0.2,2.3,52.2,58.1
Isaiah Thomas,556,28,17.5,5.7,13.1,43.4,1.9,5.2,36.3,4.2,4.8,87.2,0.5,1.9,2.4,4.8,0.8,0.1,2.2,50.6,57.3
Jamal Murray,469,30.7,17.5,6.4,14.2,45.2,2.1,5.6,38,2.5,2.8,86.7,0.8,3,3.7,4.5,1,0.3,2,52.6,56.3
Derrick Rose,723,30.5,17.4,6.8,14.9,45.6,0.8,2.6,31.6,3,3.6,83.1,0.8,2.4,3.2,5.2,0.7,0.3,2.4,48.3,52.7
