PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%
Michael Jordan,"1,072",38.3,30.1,11.4,22.9,49.7,0.5,1.7,32.7,6.8,8.2,83.5,1.6,4.7,6.2,5.3,2.3,0.8,2.7,50.9,56.9
Wilt Chamberlain,"1,045",45.8,30.1,12.1,22.5,54,-,-,-,5.8,11.4,51.1,-,-,22.9,4.4,-,-,-,54,54.7
Luka Doncic,400,34.9,28.7,9.7,20.7,47,3,8.6,34.7,6.2,8.3,74.7,1,7.7,8.7,8.3,1.2,0.5,4,54.2,58.8
Joel Embiid,433,31.9,27.9,9.2,18.2,50.4,1.2,3.4,34.1,8.3,10.1,82.6,2.2,8.9,11.2,3.6,0.9,1.7,3.4,53.6,61.5
Elgin Baylor,846,40,27.4,10.3,23.8,43.1,-,-,-,6.8,8.7,78,-,-,13.5,4.3,-,-,-,43.1,49.4
Kevin Durant,"1,061",36.7,27.3,9.4,18.7,50.1,1.9,4.9,38.7,6.6,7.5,88.4,0.7,6.3,7,4.4,1.1,1.1,3.2,55.2,61.9
LeBron James,"1,492",37.9,27.1,9.9,19.6,50.6,1.6,4.6,34.8,5.6,7.6,73.6,1.2,6.3,7.5,7.4,1.5,0.7,3.5,54.7,58.9
Jerry West,932,39.2,27,9.7,20.4,47.4,-,-,-,7.7,9.4,81.4,1,2.8,5.8,6.7,2.6,0.7,-,47.4,55
Allen Iverson,914,41.1,26.7,9.3,21.8,42.5,1.2,3.7,31.3,7,8.9,78,0.8,2.9,3.7,6.2,2.2,0.2,3.6,45.2,51.8
Bob Pettit,792,38.8,26.4,9.3,21.3,43.6,-,-,-,7.8,10.3,76.1,-,-,16.2,3,-,-,-,43.6,51.1
George Gervin,791,33.5,26.2,10.2,19.9,51.1,0.1,0.3,29.7,5.7,6.8,84.4,1.5,3.1,4.6,2.8,1.2,0.8,3,51.3,57.2
Oscar Robertson,"1,040",42.2,25.7,9.1,18.9,48.5,-,-,-,7.4,8.8,83.8,1,3,7.5,9.5,1.1,0.1,-,48.5,56.4
Trae Young,407,34.1,25.5,8.1,18.6,43.6,2.6,7.3,35.5,6.7,7.7,87.3,0.6,2.9,3.6,9.5,1,0.2,4.2,50.6,58.1
Damian Lillard,842,36.2,25.1,8.1,18.5,43.8,3.1,8.4,37.1,5.8,6.5,89.7,0.6,3.6,4.2,6.7,1,0.3,2.8,52.2,58.8
Karl Malone,"1,476",37.2,25,9.2,17.8,51.6,0.1,0.2,27.4,6.6,8.9,74.2,2.4,7.7,10.1,3.6,1.4,0.8,3.1,51.8,57.7
Kobe Bryant,"1,346",36.1,25,8.7,19.5,44.7,1.4,4.1,32.9,6.2,7.4,83.7,1.1,4.1,5.2,4.7,1.4,0.5,3,48.2,55
Dominique Wilkins,"1,074",35.5,24.8,9.3,20.1,46.1,0.7,2.1,31.9,5.6,6.9,81.1,2.7,3.9,6.7,2.5,1.3,0.6,2.5,47.8,53.6
